Category,Resume
hr,"I am an HR manager with 4 years of experience in the field. Most of the time I worked as HR-generalist so I am well versed in both recruiting and HR functions. Focused on increasing employee engagement and optimizing talent management processes to achieve the company's strategic goals.
Key Responsibilities:
- maintaining a full recruiting cycle from job posting to onboarding (worked with tech/non-tech roles)
- employee engagement & retention – conducting 1:1s, feedback sessions, internal surveys, conflict resolution
- performance & talent development – facilitating career growth, and personal development programs.
- participation in the development of the employer brand
Key Achievements:
- systematized conducting 1:1,
- developed and structured templates developed a mentoring project
- participated in the implemented LMS
- participated in the launch of the personnel reserve program
Skills:
- Employee Recruitment & Retention Implementation and systematization 1:1
- HR audit
- Working with HR analytics Implementation LMS (Academy Ocean, Collaborator)
- AI (chatGPT, Metaview, Gamma, Recruitin.net, RectuitmentGeek)
- Communication Skills
- Adaptability and flexibility"
hr,"As an **OD and Talent Manager** at YELO Bank, I have spearheaded various learning and development initiatives, all while aligning them with the organization’s strategic goals. My key projects include leading comprehensive training needs assessments to address skill gaps across departments and developing leadership pipelines through programs like the Leadership Development and Executive Mini-MBA.
I've designed and launched high-impact internal training systems by transforming internal subject-matter experts into certified trainers, fostering a knowledge-sharing culture. Additionally, I revamped the performance management system to improve fairness and employee retention, and I overhauled the employee onboarding process to ensure smoother transitions for new hires.
My responsibilities also extend to managing the L&D budget, collaborating with external vendors for state-of-the-art training solutions, and utilizing data analytics to refine our training programs continually. I am actively looking to improve further in leveraging technology, such as LMS platforms and AI-driven learning solutions, to enhance scalability and effectiveness in talent development initiatives.
This role has allowed me to lead impactful changes and work closely with cross-functional teams to support YELO Bank’s growth."
hr,"Досвід роботи з різними командами від 30 до  800   людей.
Досвід роботи єдиним HR.
Досвід роботи в Start Up.
Розробка та впровадження  HR процесів.
Підбір персоналу за потреби(від рядових позицій до ТОП рівня).
Boolean search, X-ray search, Executive search,  Headhunting.
Ведення повного життєвого циклу співробітника
(онбординг, адаптація, one2one, допомога у вирішенні індивідуальних запитів з колегами, Exit-інтерв’ю.
Ведення первинної кадрової документації. Розробка політик, регламентуючої документації. Розвиток внутрішнього бренду роботодавця.
Діагностика лояльності та залученості.  Розробка системи мотивації.
Аналітика, метрики. Операційна діяльність. Курс військовий облік."
hr,"I'm an IT Recruiter (e-commerce) and PP with 3+ years of work experience.
Responsibilities:
- Manage and drive full-cycle recruitment process including coordinating, sourcing, screening, interviewing, feedback and offers for all levels of candidates;
- Creating and editing job descriptions;
- Pre onboarding activities;
- Maintaining a CRM system Hurma, People Force;
- Creating and editing job descriptions;
- Monitor and analyze the job market;
- Collaboration with the hiring manager, head of development, managing partner and other colleagues;
- Development and maintenance of a pool of personnel for current and future hiring needs.
People Partner
Responsibilities:
- Is focused on the team, conducting 1–1 meetings, covering its needs and problems, collecting feedback and assisting Account Manager regarding all HR-related questions.
- Assisting in coordinating employee training and development programs;
- Participating in Resource Planning meetings;
- Analysis of resource requests requirements, selection of the relevant candidates for requests, preparation of the CVs;
- Performing the onboarding process while new engineers join the Augmented team;
- Collecting regular feedback, support and communication with the developers during the Probation period ;
- Monitoring the progress, satisfaction level and prevention of any issues or conflicts;
- Controlling the activities related to PTO (vacations, holidays and sick leaves);
- Controlling the activities related to Time Tracking;
- Regular sync meetings between Account Manager(s), People Partner and Head of Development;
- Work with systems Active Collab, Airtable, People Force, Slack etc."
hr,"HR manager in IT outsourcing company, 400ppl (2,5 year, present)
- Provided full HR-services and mamaged employee cycle for 130 employees (from 400 in company): onboarding, performance management, engagement, L&D, 1-on-1s, teambuilding, conflict resolution,  offboarding, etc).
- Internal communication: launched a SharePoint employees’ portal.
- Competency-based approach: crystalized values and EVP, developed and integrated competency resume_classifier into HR processes.
- Process improvement: redesigned onboarding and offboarding processes.
- Launched L&D direction in the company from scratch: tech/soft meetups, mentorship program, assessment center.
- Designed and launched Performance management based on Competency model from scratch.
- Launched Competency-based recruitment: developing job profiles, criteria, developing evaluation forms, training for recruiters and hiring managers.
- Business partnership: coaching managers on people-related issues.
- Data-driven approach: conducted HR surveys and tracked key metrics to inform decisions.
- Resource management: managing internal staffing.
- HR events planning & budgeting.
L&D Specialist in IT consulting company, 45 ppl (2y3m)
Drive all employee cycle for 45 people, focusing on L&D, and provided HR consulting for agency clients on short-term projects.
- L&D: implemented an LMS and developed a training course for young team leaders; created the Lunch&Learn program to enhance soft skills.
- Performance management: developed a process from scatch.
- C&B: evaluated and redesigned the benefits package for better employee satisfaction.
- Employer Branding: introduced virtual coins, a branded products shop, and strengthened social media presence.
HR Generalist in IT outsourcing company, 85ppl (1 year)
- As the first and only HR person, drove full employee cycle, key HR initiatives and processes in the company.
- Recruitment: launched 365.Academy for students to train and hire trainees and juniors to the team, establish PR strategy, collaboration with university, coordinate the academy from crafting.
- Onboarding & Offboarding: developed process from scatch.
- L&D: developed leadership program for middle managers.
- Engagement: launched monthly 1-on-1 meetings with employees.
- Coaching: counsalting managers on people-related issues.
- Business continuity: plan and managed relocation to Poland in 2022.
- Employee branding: developed social media pages, created contents."
hr,"I worked as an Hr for 5 years in it companies and 2 years in reconstruction companies.Ph.d degree in law. Have deep expertise in hr and recruiting processes. Experience as an IT-recruiter in US company.Have permission  to leave Ukraine.
Hired for technical and non-technical positions in CIS, EU, US markets.Experience in hiring non-technical vacancies."
hr,"I have worked in HR for five years, mainly in IT outsourcing companies ranging in size from a minimum of 50 employees to a maximum of 2k employees.
My practical experience encompasses the following areas:
- developing performance review process;
- creating and implementing HR satisfaction survey, further work with it;
- gathering and analyzing HR data (ESAT, attrition rate, etc.) in the department;
- coaching middle management on team composition and development as well as junior HR-managers mentorship;
- retention case management.
Besides I have experience in standard HR activities as:
- onboarding & adaptation meetings during the trial period;
- conducting 1:1, working with individual requests and issues;
- facilitating performance review process;
- exit interview.
- implemented the base for analytics in the department and created recommendations for staffing based on the data received, which helped decrease the dismissal rate;
- implemented soft skills matrix in close cooperation with TOP management in order to evaluate contractors' skills and have an opportunity to create PDP for them;
- adapted performance review flow for increasing employees engagement and decreasing the level of bureaucracy;
- managed cases of career consulting, based on which employees switched their positions and, as a result, stayed with the company."
hr,"Outsource IT company
Senior Recruiter(Aug 2022-May 2023)
Conducted full-cycle recruitment for a variety of IT roles, successfully filling positions from junior to senior levels.
Utilized advanced sourcing techniques (LinkedIn Recruiter, social networks)
Managed relationships with candidates, including handling rejections and providing constructive feedback
Partnered with hiring managers to align recruitment strategies with business objectives, ensuring a quality match between candidates and team needs.
Provided the recruitment process from initial sourcing to job offer, achieving a 95% offer acceptance rate.
Outsource IT company
Middle Recruiter(Mar 2020 - Aug 2022)
Provided full-cycle recruitment for diverse IT positions, collaborating closely with hiring managers to ensure a tailored recruitment approach.
Candidate sourcing through various channels, including LinkedIn, job boards, and internal databases, while maintaining strong communication with candidates, which increased referrals.
Actively represented the company at industry events, contributing to employer branding and attracting high-quality candidates.
Mentored junior recruiters and researchers, guiding them through best practices in candidate sourcing and recruitment process management.
Delivered educational workshops for students, promoting careers in IT and enhancing company visibility in local talent markets.
Talent Acquisition Searcher(Nov 2017 - Mar 2020)
Sourced and screened IT candidates across various platforms, utilizing LinkedIn Recruiter, social networks, and networking events to identify top talent.
Maintained consistent communication with candidates throughout the recruitment process, ensuring a positive candidate experience and timely feedback.
Actively participated in technical conferences and industry meetups to expand network and promote company opportunities, resulting in increase in candidate referrals.
Supported the PR department in organizing recruitment events, enhancing company visibility in the tech community.
Delivered educational sessions to students, increasing interest in IT careers and building future talent pipelines.
For two consecutive years, received the Best Performer award for outstanding results in sourcing.
Recruiter
Retail company, ( Sep 2016 - Nov 2017)
Source, interview, and select applicants for positions; Improve hiring results;
Build  HR Brand.
I am interested in developing as an HR manager right now, and the experience I have gained in recruitment has equipped me with skills that will be valuable for this career. Through my studies in psychology, I have gained a deeper understanding of human behavior and motivation, which will enable me to work more effectively with personnel. I am confident that I can become an important resource in supporting the development of HR processes and contributing to the overall growth of the company."
hr,"Good day, my Name Jylia.
I have more than 10+ years of background on HR manager position in different companies. In addition to that I have experience in tech recruiting, HR management tasks and team management. Also I’m on the first Name basis with all cycles of HR procedures - pre-boarding, on-boarding, off-boarding etc.
What’s more - my background as a lawyer gives me knowledge and tools to provide company’s owners with proper protection in case of any conflict situations related to the sphere of law. On top of that I’m qualified in creating and implementing HR policies.
I built the HR department from scratch in an Agrarian commodity exchange with the team of 90 employees. Working in an IT recruiting agency I closed top level positions for tech companies - one of the biggest and successful ones on the Ukrainian and International market.
In my current company, I work on HRG position, with a team of 70+ people. I am involved in the full cycle of recruiting from search to candidate onboarding and full support of the employee within the company. Working with the team, motivation, training, all HR processes."
hr,"- 8 years of experience with distributed teams.
- Building HR processes from scratch.
- OKRs process driving within all company.
- Coaching and supporting leaders.
- Work with business leaders to understand the needs of each department and develop HR solutions that support these needs.
- Monitoring the success of the performance management system.
- Analyzing HR data and using it to identify trends and areas for improvement
- Built and implemented a relocation process for the international team.
- Designed and implemented a people leader expectation process and metrics to measure the manager's effectiveness.
- Analyzed data and implemented a base Salary approach for hourly rate employees to ensure legal compliance.
- Improved engagement survey results by working with every leader on 5%.
Prefer to work in a multinational company."
hr,"Working at a cashier position at Mc'Donalds right now. My position also involves handling cash to ensure accuracy also working with a legal documents and keeping track of them. Substituting sometimes lead shift’s position and organazing work among other workers.
Great at time management as I combine both work and studies.
In charge of 6 cashiers and orginazing work among them.
Great at solving issues with the customers at the spot.
Would like to be important part of new team. Have possibility to grow up together."
hr,"Managed budgeting and provided all office, kitchen, and washing supplies, ensuring cost-effective and timely replacement of goods.
Budgeted and coordinated orders for branded merchandise, maintaining quality and compliance with company standards.
Resolved administrative requests from all employees, creating a smooth and efficient workflow.
Prepared welcome packs for new employees, making a first good impression about the company.
Supported customers and guests during conferences and meetings, ensuring a professional and welcoming office environment.
Organized deliveries of stuff, documents, and equipment between four office locations.
Assisted employees with insurance issues, and sent documents for reimbursement. Printed and provided access to employees' pass cards.
Collaborated closely with the HR and Finance departments to streamline processes and maintain quality and compliance with company policies and procedures.
Kuznya Kadriv «Personnel Management»
HR Manager (genius space)
Online course of IT English (High Intermediate)
Soft Skills for ІТ specialist (genius space)"
hr,"Seasoned Recruiter specializing in the surface transportation industry of the US.
I have a successful history of hiring all levels of employees and contractors for a full-cycle carrier that operates throughout North America.
My average term from hiring request to sending a proposal to the candidate is 2 weeks.
Expert level with such platforms as LinkedIn and Indeed.
I am able to provide hiring solutions if you are planning to hire English-speaking professionals from next countries:
USA
Canada
Ukraine
Moldova
Romania
Bulgaria
Serbia
- Hunted, hired, and helped build Business Development and Operations teams for a Trucking company with 450 power units and 3PL side.
- Designed compensation structures based on performance and KPIs.
- Implemented Insurance coverage for all remote overseas employees from various countries.
- Developed RACI, and KPIs, for employees."
hr,"Skilled HR expert with extensive experience in talent management, hiring, and employee education. Implemented HR initiatives across the company, facilitated onboarding and mentoring of teams, and arranged training programs utilizing Adizes methodology. I have 5+ years in recruiting high-quality candidates, performing interviews, and overseeing HR functions. Enthusiastic about fostering environments that promote development and teamwork."
hr,"I possess experience in maintenance administrative systems, communication logs, filing systems, and budget trackers, transportation and travel coordination, aided with project financial matters including coordinating invoices/cash receipts from vendors and service providers. Additionally, I am familiar with organization and execution of small purchases related to the office needs.
Being a an honest, result-oriented and organized specialist I am not afraid of responsibility.
My strengths are attention to detail, analytical skills and empathy.
In my work, I use assertive and transparent communication, creating a friendly and trusting atmosphere. I value decency, honesty and diligence. I will be happy to work with people who share my values."
hr,"I regard myself to be a personality with a people-oriented approach, which makes employees stay motivated and productive.
I have an experience being both as a recruiter and HR-manager.
I have dealt with technical and non-technical, junior to Lead-vacancies in IT field.
Always aim to combine company with the ""right"" and motivated candidates.
As  an HR-manager I’ve built recruitment and HR-processes  from the scratch.
- Created and implemented basic Recruiting/HR processes from  the scratch (Onboarding, offboarding, policies, performance, 1:1 meetings as a part of retention).
- I have an experience in implementing HRMS.
- Competency-based and situational interview techneques."
hr,"In my roles across HR and project management, I have excelled in developing and implementing efficient HR frameworks, from documentation to comprehensive talent acquisition strategies. My projects often involve the creation of standard operating procedures, innovative engagement initiatives, and feedback systems tailored to enhance team dynamics and productivity. Technologically adept, I leverage automation tools and software like SmartSuite, ClickUp, Trello, and Miro to streamline processes and improve communication.
Currently, as a key team member, I focus on refining these systems to increase operational efficiency and data-driven decision-making, aiming to further enhance remote collaboration and strategic HR development. My ongoing goal is to deepen my expertise in business process automation and analytics to drive impactful organizational change.
- Developed and implemented comprehensive HR and Talent Acquisition documentation, including SOPs, policies, FAQs, and user-friendly how-to guides,
- Successfully launched new initiatives including 360-degree feedback, personalized learning journeys, benefits matrix, career ladders, and internal motivational programs,
- Led internal and external company projects and represented the company in the TANGO project, a major EU initiative aimed at advancing secure data sharing and innovation,
- Spearheaded the full-cycle recruitment process, streamlining hiring, probation, onboarding, and offboarding procedures
Implemented automations in recruitment and onboarding processes, significantly reducing time per hire and boosting operational efficiency,
- Enhanced employee retention and fostered a positive work culture through strategic engagement initiatives and optimized remote collaboration
Eager to contribute to a product company with an impactful product in a fully remote capacity."
hr,"Full employee lifecycle management within the department in Ukraine and Europe;
Conducting smooth operational processes;
Organization and implementation of educational trainings, internal and external social events;
Analyze and work with people analytics reports, analyze people trends and metrics within the department;
Develop and maintain close and positive relationships with employees. Facilitate an ongoing dialogue, invite their input and feedback, conduct surveys, analyze feedback from various sources, and support implement actions that can enhance employee engagement and retention."
hr,"Маю досвід 4 роки як рекрутер, і 1,5 року як HRG + TL Recruitment (Affiliate marketing).
По основним задачам:
- Залучення нових працівників в команду;
- Ведення стратегії пошуку вакансій;
- Відвідування конференцій;
- Складання стратегічного планування на квартал\місяць;
- Повне адміністрування відділу рекрутингу, постановка роботи 2-х рекрутерів;
- Preboarding, Onboarding, Offboarding;
- Проведення 1:1;
- Аналіз умов на ринку;
- Створення карт посад;
- Створення та ведення корпоративної культури;
- Ведення аналітики рекрутингу, HR метрик;
- Організація тімбілдингів, корпоративів.
Відкрита до пропозицій."
