Role,Resume
backend,"Search and make the best practices and the best solutions for every task.
Focus on perfectionism in my code.
The SOLID, KISS, DRY are not just words for me.
Was part of companies / projects to provide a new functionality and refactor / improve / optimize existing one: micro-services, REST API, unit tests, import / export etc.
My CV has more detailed information.
Built payment system, SSO microservice, refactored and optimized scraping system and other.
To be a part of skilled and ready to share experience team.
To get tasks with clear descriptions and adequate estimations.
To have a comfortable job."
backend,"Website development, both server-side programming and frontend.
I work with php (YII2, Laravel frameworks).  Frontend React js, redux, express, node.js, react native for mobile application development.
Interface layout - bootstrap (3,4,5)+jquery. Adaptive sites - html5+css3.
I can create sites starting with layout layout, to full readiness.
Development of both frontend and backend.
The choice of the most appropriate tools for the realization of the task. Creating applications for android and iPhone on react native
The possibility of receiving a salary of 2p. per month, possibly in crypto."
backend,"About 8 years of experience in backend development, huge experience with microservices, and service-oriented architecture.
Skills:
- PHP, Swoole, Node.js (Hono, Nest), CloudFlare Cloud Stack (Workers, R2, KV, Stream, etc)
- Symfony 2, 3, 4, 5, 6, 7
- SQL ( MySQL, PostgreSQL, D1)
- Git
- PHPUnit, Codeception, Jest
- Microservices
Responsibilities:
- Architecture design
- API development
- Covering project BE logic by functional and unit tests (PHPUnit)
- Code review for team members
- Team Lead experience (3 years)
- First-chain communication with clients
Domains:
- Logistics
- Fintech
- Marketing
- Construction industry
Experience working in products, startups, outsourcing/outstaff companies
Master's degree with honours in Software Engineering"
backend,"Software Engineer with a demonstrated history of working in the web and mobile application development industry.
Frameworks
:
- Laravel
- Yii2
- Codeigniter
- Symfony
- Slim frameworks
- Zend
and projects with pure PHP.
CMS
:
- Wordpress
- WordPress + Woocommerce.
Front-End Technologies
:
-  Angular 1.6
-  React js.
-  Vue Js.
-  HTML, CSS, Boostrap, Jquery.
Databases:
- Mysql
- Postgres,
- MongoDB,
- DynamoDB,
- Clickhouse
Server technologies:
- Apache, Nginx,
- Docker
- Grunt,
- NPM,
- Gulp.
Cloud server experience
:
- Google, Kubernetes,
- AWS,
- S3 bucket, Serverless image handler,
- Microsoft Azure,
- Digitial Ocean.
Micromanagement and all-day-long meetings are NOT for me."
backend,"I am a Junior Django Backend Developer with 6 months of practical experience in building backend applications using Python, Django, and Django Rest Framework. I have developed RESTful APIs with authentication systems (JWT with refresh tokens), filtering, pagination, and custom permissions. I have worked with asynchronous task management using Celery and Redis for tasks such as email sending and data processing.In my personal and team-based projects, I followed clean code principles and proper structure (models, serializers, views). I also have experience with GitHub, API documentation (Swagger), and basic deployment.
I’m currently focusing on writing tests for APIs (using pytest and DRF test tools), improving performance, and learning advanced topics like scaling and Docker-based deployment. I’m looking for a remote or hybrid position to grow within a team and gain real-world project experience.
• Created real-world backend APIs with Django Rest Framework using JWT, filtering, and permissions.
• Implemented async tasks via Celery and Redis for email sending and data updates.
• Built project-based solutions following clean code principles.
• Participated in an intensive Django Bootcamp at JET Academy.
• Used Git and GitHub actively for version control and project management.
I am looking for a position where I can improve my skills in backend development and work with experienced developers in a collaborative team environment. I want to gain real project experience, contribute to meaningful applications, and deepen my knowledge of Django, DRF, testing, and deployment.
I prefer remote or hybrid work with clear code structure, version control, and professional communication. I am open to feedback and eager to grow technically and personally within a supportive team."
backend,"In my experience, I have developed websites using PHP and Node.js. My responsibilities included interaction with various APIs, which allowed us to integrate external services and platforms to improve the functionality of our products.
In terms of professional development, I am looking to expand my skills in the field of developing full-fledged web applications, learning modern frameworks and programming languages, and deepening my understanding in the field of cloud technologies. My goal is to become a full-fledged stack developer, able to manage complex projects and make a significant contribution to the development of innovative technologies"
backend,"I am a dedicated and efficient software engineer with over 7 years of commercial experience in software development. Adept in backend development, particularly using Node.js, AWS, and Nest.JS. I possess strong analytical and problem-solving skills, enabling me to create dynamic, optimized, and scalable applications. I am passionate about building world-class web applications, software architecture, and cloud computing. Highly skilled in JavaScript and Node.js. I have worked in a product company, participated in startup development, and have experience in outsourcing companies.
Skills:
Node.js, JavaScript, TypeScript, GraphQL, MongoDB, PostgreSQL, AWS DynamoDB, Sequelize, socket.io, BotKit, CI/CD, Codeship, Mocha, Chai, AWS S3, AWS EC2, AWS ECS, AWS Lambda, AWS Cloudwatch, Alexa Skills, Docker, Heroku, Redis, RabbitMQ, Electron, SMTP, HTTP, SOA, JIRA, Twilio, Sendgrid, DialogFlow
I have been working as a developer for several years, specializing in server-side development using trending technologies such as AWS, NestJS, MongoDB, and PostgreSQL, as well as third-party services like Twilio, SendGrid, and PubNub. I write tests using Mocha and Chai, and I have experience with CI/CD delivery. Additionally, I have successfully developed an invoice module for a banking product.
Looking for work with a good team, professional growth. A good and without delay salary."
backend,"I work extensively with Python and FastAPI for backend development, React for front-end integration, and MongoDB and PostgreSQL for database management. I also use Docker for containerization, Redis for caching, and DBeaver for database operations. My projects involve DevOps practices such as deploying applications with scalability in mind and setting up CI/CD pipelines."
backend,"Experienced backend developer with 4+ years of expertise in building high-load systems, optimizing data parsing workflows, and maintaining stable, scalable infrastructures. Specialized in crafting efficient solutions using modern approaches (coroutines, asynchronous task management) to process millions of requests with minimal resource overhead.
Core Skills:
— Developing and optimizing data parsers and ETL pipelines for large-scale data processing.
— Building high-performance systems in PHP using Swow for parallel task execution.
— Implementing reliable job queues via Beanstalkd with guaranteed delivery and automated retries for failed tasks.
— Creating monitoring tools to track parser performance, analyze errors, and enable rapid incident response.
— Proficient in network traffic analysis tools: Burp Suite, Fiddler, Whistle.
— Deployment and environment management using Docker.
— Improved data processing speed by 60% by migrating critical components to coroutines (Swow) and asynchronous architecture.
— Successfully increased the job post parsing capacity from 300,000 to 1-1,5 million posts per day over a span of 4 years. (Indeed, LinkedIn, CareerJet etc)
— Developed a versatile job post parser capable of scraping websites utilizing the JobPost schema from schema.org."
backend,"Magento 2 project focused on selling books and magazines in both physical and digital formats.
Module Development for CMS, development, and optimizing the performance.
Worked with payment systems. Along with that, I was taking a part in the developing of new components and integrating with customizing of third-party extensions
Good knowledge of PHP, Magento 2, SQL, Docker, REST, SOAP, JavaScript, HTML, and CSS.
- developing new functionality from scratch
- integration with the third-party API
- regular security updates
- integration with third-party API
- setting up social media integrations
- updating website features
- creating an export system for CMS blocks
- enhancing product importing from SAP"
