Category,CV
devops,"
WORK EXPERIENCE

DevBrother
02/2021 – till now
DevOPS Engineer
• Supporting, Upgrading and Deploying client’s
infrastructure (Kubernetes, Docker, Helm, ECS, S3)
• Debugging failures and preventing them
• Developing automation scripts (Bash)

HOLYGUEST LTD
08/2017 - 02/2021
• Project Manager/Team Lead & DevOPS
• Managing projects scopes and change requests,
risks associated with requirements changes
• Maintaining customer relationships to achieve long-
term retention and satisfaction
• Successfully architect and develop infrastructure
based on AWS (EC2, EKS, ECS, ELB, EFK, Route53,
CloudFront, RDS, Lambda, S3, ElastiCache for
Redis, IAM) using Terraform and k8s
• Run and debug CI/CD pipelines in Jenkins/GitLab CI/Travis CI
Looking for remote part-time job offers (2-3 hours per day) with floating schedule."
devops,"- Converted project infrastructure from Terraform/Troposphere & Ansible to AWS CDK, created reusable NPM packages, setup new CI/CD pipelines, educated the team
- Identified and fixed performance issues in microservice-based API, set up automated testing and monitoring
- Passed AWS Solutions Architect-Professional certification
I have been working as a software developer (TypeScript, Node.js) for the last 6 years. My latest role was a Senior Backend Developer in a British startup where I was responsible for designing, developing and monitoring a set of microservices hosted on AWS. 
Working in cross-functional teams and constantly being engaged in DevOps activities, I have realised that dealing with infrastructure is what drives me the most. Now I am looking for the next career shift: becoming AWS DevOps and Solutions Architect.

I am holding several AWS certifications:
- Certified Solutions Architect - Professional  – Oct 2022
- Certified Solutions Architect - Associate – Dec 2020
- Certified Developer - Associate – Aug 2019 

Total experience with AWS: 5 years

Examples of tasks I can perform:
- set-up 3-tier architecture (Route53 -> ALB / API Gateway -> Lambda / ECS -> RDS / DynamoDB / ElastiCache ...)
- create infrastructure for ETL jobs (i.e. S3 -> SNS -> SQS -> Lambda -> EFS)
- write IaC with AWS CDK (TypeScript), Troposphere (Python),   CloudFormation, Terraform, Serverless
- package Node.js / Python app as a Docker container and deploy to the cloud
- set up CI/CD pipelines using CodeBuild/CodeDeploy or GitHub actions
- configure network connection in/inter VPC
- manage multi-account and multi-region AWS environments
- create application monitoring dashboards in AWS or DataDog 
- perform on-call duties resolving application alerts

I do admit that I am still missing some DevOps skills: Linux administration, web servers configs, Kubernetes, Chef, Puppet. I am working on filling these gaps and ready to learn more tools required for the position.
Would like to become a part of a company specialising in DevOps services and consulting, preferably AWS Partner. Also, consider product companies where I can combine AWS management (80%) with Node.js development (20%)."
devops,"
I have worked on projects that involves creating, implementing and creating cloud designs in the cloud. Projects such as control tower in AWS. I also have knowledge working with a MedTech Organization that involves deployment every 2 weeks. I consider myself vast based on various projects that I have worked on. I also have knowledge from working with a data based organization.
"
devops,"
DevOps for micro-services based applications.
Cloud providers: AWS, Azure and GCP
Terraform
Helm, Docker, Kubernetes
CI/CD pipelines

QA departments management in Product and Outsource companies.
QA teams staffing and technical growth. 
Good experience in creating, improvement and support different frameworks for automated testing. 

Participated in CI/CD processes creating, support and management.

Participating in different levels of Product development. From POC to delivery.

Participating in support processes from SL1 to SL3.

Available for business trips (B1/B2 US visa)
"
devops,"1) Managed a team of azure engineers developing a cloud landing zone for app teams.

2) Worked closely with Machine Learning team to build and implement Machine Translation services hosted on Kubernetes

3) Managed a team of DevOps engineers providing CI/CD and Kubernetes administration services.

4) Worked closely with dev teams to implement application monitoring and log analysis.

5) Managed a DevOps team involved in transitioning DevOps services from TFS to Atlassian platform
Over 10 years of experience within the DevOps space.
I have worked with the following technologies and tools

CI/CD: Azure DevOps pipelines, Jenkins, TeamCity, Bamboo

Cloud Platforms: Azure Cloud, Azure Function Apps, Azure App Service, Azure Virtual Networks, Azure Bot Service, Azure VMs

Monitoring and Telemetry: Azure Monitor, ELK, Grafana, Prometheus

IaC: Terraform, ARM Templates, PowerShell DSC

Programming Languages: C#, PowerShell

I currently work as a Tech Lead managing a team of 7 engineers.
"
devops,"
Azure Cloud/DevOps Engineer with around 8 years of experience in various IT spheres. In the last couple of years specialized in designing and implementation of cloud solutions that are secure, scalable, resilient, monitored, auditable, and cost-optimized. Ultimately responsible for defining and implementing a robust, scalable, pragmatic, and realistic cloud solution that works for clients. Implementing scripts, writing infrastructure as code, and automating development processes. Excellent team player with problem-solving and troubleshooting capabilities. Good communication, interpersonal and presentation skills. Great work ethic, self-motivated and quick learner, willing to learn, and adapts to new technologies and third-party products.
I am mostly interested in USA and Canada based remote projects that are in their timezone. Preferable Azure Cloud."
devops,"
I have started as a BA 20+ years ago. Over years, I've been in db dev, DBA, DevOps, .Net developer, and many other chairs. Currently concentrate on data platform architectures and data management consulting. Abbreviations like DAMA DMBOK, TOGAF, CMMI, EDM - they are not alien to me.

I'm eager to get back to engineering - either data platform development or DevOps. Azure is preferred, but I'm open-minded for other clouds. No on-prem please.
NO - On-prem infrastructure 
NO - ""Meetings-only"" life
NO - office

Late start (after 10am gmt) - preferred."
devops,"
Eight years in IT.

As a DevOps engineer I have a 4+years of Azure experience.

Stack: Azure, git, Terraform, ARM templates, Ansible, GitHub/Gitlab, Azure DevOps/GitlabCI, Docker, Kubernetes, ACR, semver/gitversion, DataDog, bash/powershell.
Tough challenges, opportunity to learn and environment for professional growth."
devops,"For past 2 years I had a few interesting accomplishments:

- I developed Azure DevOps release pipelines management service in C#/.NET which clones/triggers deployments/manages releases from the code.
- Full cycle of DevOps support for Kubernetes projects for Azure cloud.: Build pipelines, release pipelines, GIT branching strategies, dockerfiles, HELM charts, terraform/BICEP templates, AKS, Azure FrontDoor, CloudFlare, etc.
Hello,

     I've been working as Azure DevOps engineer for 5+ years. My tech. stack is Azure/Azure DevOps/AKS/C#/.NET/MS SQL/CloudFlare/ PowrShell/BASH/T-SQL/Ansible/HELM/etc.
    My projects were/are mostly Azure cloud related: infrastructure architecture creation for C# monolithic/microservices applications. AKS PoC/development/support, AppServices + Azure SQL + other Azure services, etc.
   My current role is Senior Cloud DevOps engineer. Mostly I learn new features/changes for Azure Cloud/C#/.NET/Kuberenetes.
I don't work with significantly different tech.stack than I've reflected in my CV."
devops,"
I have strong experience working with AWS and Azure DevOps. I have worked on DevOps/Agile operations processes and tools such as code reviews, unit test automation, build and release automation, environment management, and infrastructure as code. I have also worked on tasks such as investigating and resolving technical issues, providing level 2 technical support, performing root cause analysis for production errors, and building and supporting customer environments in Microsoft Azure cloud. Additionally, I am skilled in coding and scripting, maintaining and deploying highly-available, fault-tolerant systems at scale, Cloud Platforms such as Azure, AWS, and OpenStack, and developing monitors and alerts for errors and performance.
I would like to work where I am appreciated"
devops,"
I will give preference to the product company
Usually working directly with a customer
consulting and implementing solutions.
Experience in deploying high-available infrastructures from scratch using such tools:
- Mostly Azure cloud
- Kubernetes clusters following best practices 
- Infrastructure as a code using terraform, ARM templates
- Configuring systems using Ansible
- Monitoring, mostly datadog, grafana stack, zabbix
- CI/CD, mostly Azure devops, FluxV2, Jenkins, github actions
"
devops,"Actual Certifications
Microsoft Certified: DevOps Engineer Expert		
Microsoft Certified: Azure Administrator Associate	
Microsoft Certified Professional: Microsoft Certified Professional	

Old certificates 
AWS Certified Solutions Architect - Associate 2017
Cisco CCNP R&S
Vmware VCPDC
More then 20 years of experience in IT 
Tech stack
- Microsoft Windows Server (from 2003 to 2019) all roles - 16 years
- Linux platforms Ubuntu, Centos - 9 years
- Azure DevOps Server (ex TFS) - 5 years
- Microsoft Exchange Server (from 2013 to 2019) - 9 years
- Microsoft Skype for Business Server 2015 - 3 years
- Vmware vSphere 5 - 6.5 (VSAN,HA,FT,DRS,VDI)- 9 years
- Cloud technologies (AWS, Azure ,Vmware vCloud Director) - 7 years
- Backup solutions (Veeam B&R, Symantec Bacup exec,Dell netvault ) - 5 years
- Asterisk - 3 years
- DevOps (Jira,Bitbucket,Git) - 3 years
- Openstack - 1 year
- Cisco Routers&Switches (CCNP R&S) 9 years
- NGFW (Paloalto,Cisco,Ciberroam,Checkpoint) -5 years
- Server and cable infrastructures. - 11 years
Currently  technology use
Infrastructure services
Azure IaaS, Azure PaaS,  Azure SQL, Storages, Networking, Web App, Office 365, Exchange 2013-2019, AD, CS, AD Connect, PKI ... Windows Server 2016-19, Ubuntu 18.
Devops
Azure DevOps Server, ARM templates, DSC scripts, Powershell, Ansible, Zabbix, Splunk.
Hardware
HP, Dell Servers, HP Storages, NGFW Fortinet and many others
Scope of Works 
Support and deployment services of all used Cloud Services.
- web applications, VM's, databases, storage accounts, WAF's VPN's .... 
Management of many environments as needed for development, testing, demonstrations, staging and production. 
Write automation scrips and pipelines to build ,manage and Deploy apps to this environments .
Рассматриваю только продуктовую кампанию ,  для перехода это одно из требований потому как менять условия на такие же или около того не буду.
Важен продукт , стек технологий, домен кампании (не казино ,гембинг и прочее ..) расположение оффиса кампании , з.п. , и совпадение моего и кампании пути развития , и также адекватная по скилам команда ."
devops,"
- MS Windows Server administration
- Azure (Resource group, Virtual networks, Network security group, Storage account, VMs, 
 LoadBalancer, Traffic manager, Availability sets, Backup Vms, SQL Databases, Cloud services, App 
 Service plans, Azure Active Directory, Service Fabric, Service Bus, Redis caches, Virtual Network 
 Gateway, Change Tracking)
- Administration of servers based on OS Linux
- Script writing (Bash, PowerShell)
- TeamCity
- Octopus
- Terraform
"
devops,"
• Over 9 years of professional experience as a DevOps/Build and Release Engineer in Enterprise IT, specializing in Microsoft Stack.
• Lot of working/support/troubleshooting experience with Microsoft Azure solutions (IaaS/PaaS/SaaS) like: AKS, Service Fabric clusters, VMs, Key vaults, Traffic Manager, App Services, Storage accounts and databases. Experience in design, planning, configuring network components such as: firewalls, DNS, load balancers, security groups
• Experienced in Azure DevOps (VSTS), TFS, Build Definitions, Release Management, Power BI
• Proficient in utilizing monitoring tools such as New Relic, Azure Metrics, and Application Insights to generate valuable alerts and dashboards
• Expert in launch/support/migrating new projects to AKS using Azure DevOps and Azure Container Registry
• Planning and developing Infrastructure as Code from scratch to increase efficiency in software development and have configuration consistency between environments
• Always ready to follow and propose best practices and writing well documented scripts and working stuff
"
devops,"
UST (January 2023 – Present) - DevOps Role
Project: Tax computing project for a large enterprise in the tax domain.
Responsibilities: Troubleshooting performance issues, optimizing infrastructure, analyzing incidents, and release management.
Technologies: Azure DevOps, Azure VMs, Load Balancers, App Services, IIS, RabbitMQ, Azure SQL, Private Endpoints, PowerShell, Azure Log Analytics, AppDynamics, Grafana, Prometheus.

Eleks (January 2022 - January 2023) - DevOps Role
Project: Fuel calculation project for analytical and calculation systems tailored for fuel companies.
Responsibilities: Developing IaC solutions, deploying and optimizing infrastructure, developing pipelines, R&Ds, PoCs, and automation solutions.
Technologies: Azure multiple services, Azure DevOps, PowerShell, C#, T-SQL, K8S, Helm, VMs, Azure AD, Azure B2C, Terraform, Bicep.

Quipu GMBH (Nov 2019 - Jan 2021) - DevOps Engineer Role
Project: Migrating and integrating a legacy banking software application to the Azure Cloud.
Responsibilities: R&Ds, PoCs, infrastructure planning, development, deployment, support, cloud adoption activities, release management, pipeline development, cost optimization, various integrations, and automation.
Technologies: PowerShell, T-SQL, Pipelines, Azure Multiple Services, ARM templates, Windows Server, Domain Services, Azure AD, Docker.

SoftServe (November 2018 - November 2019) - DevOps Engineer Role
Project: Supporting and advancing the development of a tax service platform.
Responsibilities: ARM templates development, release management, troubleshooting, and development team support.
Technologies: Azure Cloud, Azure DevOps, PowerShell, T-SQL, Linux, Windows Servers, Vagrant.

IT-Lite LLC (November 2015 - November 2018) - System Administrator Role
Project: Enhancing and expanding a hosting company's SaaS and IaaS services.
Responsibilities: Client infrastructure deployment and configuration, supporting large hosting provider infrastructure, troubleshooting, migrations, process automation, and incidents investigation.
Technologies: Windows server, VMM, Hyper-V, Linux, IIS, Apache, PostgreSQL, MySQL, Load Balancers, Proxy, VPN, PowerShell, Bash.
"
devops,"Configuring Hybrid Infrastructure with Azure
Single sign-on for Office 365, Local office, Dynamics NAV
•		Azure (AD, AADDS, VM, Network, SQL Service, VPN, Storage, Backup, Cloud Service, Web app, APP services, Key Vaults, Azure Service Fabric, Load balancer, Traffic manager);
•	Azure DevOps (Build, Deploy, write YAML pipelines);
•	Write ARM Templates for infrastructure as code; 
•	PowerShell scripts (Use Rest API Azure DevOps);
•	Ansible (writing playbooks for Windows)
•	now attending courses by Kubernetes
Working with Azure to get a Cloud Architecture certificate
Highload projects"
devops,"Certifications:
- Microsoft Certified: Azure Fundamentals
- Microsoft Certified: Azure Administrator Associate
- Microsoft Certified: Azure Database Administrator Associate
- Microsoft Certified: Identity and Access Administrator Associate
- Microsoft Certified: DevOps Engineer Expert
- AWS Certified Cloud Practitioner
I have experience with mainly with Azure, minorly with AWS.
Certifications:
- Microsoft Certified: Azure Fundamentals
- Microsoft Certified: Azure Administrator Associate
- Microsoft Certified: Azure Database Administrator Associate
- Microsoft Certified: Identity and Access Administrator Associate
- Microsoft Certified: DevOps Engineer Expert
- AWS Certified Cloud Practitioner

Scripting: Powershell
OS: Windows/Linux
CI/CD: Azure DevOps,Gitlab CI
IaaC: ARM Template, Terraform, CloudFormation
Container: Docker, Docker-Compose
Databases: MSSQL, Oracle, Postgresql, MS Access, Azure Databases
In a company where to produce alcohol, cigarettes, betting"
devops,"AZ-900: Microsoft Azure Fundamentals certification
AZ-104: Azure Administrator Associate
AZ-400: Azure DevOps Engineer
Terraform Associate
Certified Kubernetes Application Developer
I'm Azure, Terraform and Kubernetes certified DevOps engineer with 2 year commercial experience. I have knowledge in configuration management, programming, web servers, orchestration, CI/CD, monitoring, logging and automation. I always try to complete tasks quickly and efficiently. I’m proactive, responsible, have strong analytical skills, can work under pressure, and a good team player.
Only Azure, might switch to AWS but certainly not GCP.
No on-calls
No overtimes (or minimum of them)"
devops,"Engineer with strong experience in software development process automation and infrastructure provisioning and configuration automation with practical skills in managing server infrastructures and data-center operations across Linux and Windows. Effectively plan, install, configure and optimize IT infrastructures to achieve high availability and performance.
May-2022 - -//--//- - Anglo American plc
Project Role: Consultant
Tasks performed:
• Automation of development process
• Automation of Infrastructure provisioning and configuration
Environment:
• Azure DevOps
• Azure Cloud
• Azure AD
• Azure SQL
• Powershell

Aug-2019 - -//--//- - Click LLC
Project Role: Solutions Architect
Tasks performed:
• Developed the architecture of Electronic Locker System
• Raised the infrastructure for Electronic Locker System
• Developed microservices for autonomous system operation
Environment:
• IoT

Sep-2020 - June-2022 Systems Engineer, EPAM Systems
Project Role: DevOps
Tasks performed:

• Builded complex Azure infrastructure with different approaches such as manual (Azure Portal) and automatic one (Azure CLI, PowerShell, ARM)
• Inplementation and maintenance of Azure Devops Build and Release Pipelines and Yaml 
Pipelines with deep understanding of CI\CD processes.
• Practical experinece in creation of PowerShell advanced scripts from scratch using best practices 
and necessary technics such as error handling, tasks parallelisation, remote execution and so on.
Environment:
• PowerShell Azure Resource Manager templates Azure CLI Azure DevOps Services (Pipelines, 
Artifacts, Files, Boards)
• Infrastructure as Code Cloud infrastructure management Continuous Integration Continuous 
Delivery\Deployment Configuration Management Scripting

Nov-2019 - Aug-2020 - Venkon Group LLC
Project Role: DevOps, Developer, System Engineer
Tasks performed:
• Integrated with tax authorities
• Migrated to local cloud services
• Developed microservices for autonomous system operation
• Managed and maintaned mixed Linux server environment
• Implemented devops practices (3+ releases per day)
• Integrated with 3rd party systems based on EDI standarts
Environment:
• MariaDB, AWS RDS
• AWS (RDS, EC2, Route53, Lambda, S3, SES, SNS), Beeline Cloud - IAAS, Redis, Laravel 
Framework, Lumen Framework
• PHP, Golang, Linux, AWS, Beeline Cloud, Bash

Apr-2018 - Okt-2020 - Beeline Uzbekistan - VEON Group
Project Role: Data center Expert
Tasks performed:
• Managed and maintained mixed Linux server environment. Evaluate, monitor and enhance IT 
infrastructure with an emphasis on availability, reliability, scalability, security and system 
integrity.
Environment:
• MariaDB, PostgreSQL
• Apache CloudStack, ISP BILLmanager, ISP DNSmanager, Plesk, Django
• Python, KVM, Bash, Red Hat High Availability Cluster
I prefer to work with dev teams as a Solution Architect and DevOps
I am currently in Uzbekistan"
devops,"
Overall 11+ years of IT experience in European companies.
4+ years experience as a DevOps Engineer(Azure Stack), which includes technical knowledge and experience in building engineering processes and configuration management processes. 

Hands-on experience in the creation of flexible, automated solutions for building and deployment processes, monitoring, and environmental management.

On the current project (2018-2022) I  successfully did support the Dev\QA CRM team. 
I engaged in the support and development of a CRM system project  (Microsoft Dynamics 365 customer engagement (on-premises).
My duties were: 
— Administration Azure DevOps organization.
— building and supporting CI/CD process using Azure DevOps.
— Administration of Dynamics 365 Prod system (over 600 users).
— Deployment and administration of third-party solutions: Scribe Insight, InRule, DocumentsCorePack.
— ELK Stack.
"
devops,"Experience working for an enterprise projects as a DevOps Engineer for USA and UK fintech companies.
Experience in maintaining and configuration of CI/CD processes and managing cloud infrastructure.

Azure cloud: Service Fabric, KeyVaults, Data Factory, Application Gateways, Load Balancers, vNets, VMSS, Storage Accounts, Traffic Manager, SQL Databases, SQL servers, SQL elastic pools, NSG, App Services, Cloud Services, Azure Cache, Event Hub, Service Bus.
CI\CD: Teamcity, Octopus Deploy, Azure DevOps
IaC: Terraform
Monitoring: Splunk, Grafana, Prometheus
Scripting: PowerShell
I'm searching for a better place to be. I'm mostly focusing on CI/CD and cloud infrastructure management."
devops,"
Installation, automation, maintenance and troubleshooting company cloud environment. Implementation CI/CD process.
Installation, maintenance and troubleshooting customers servers in datacenters. Supporting IT infrastructure.
"
devops,"Microsoft Certified: Azure Developer Associate
Issued May 2022 · Expires May 2024
Credential ID 1267-4268

Microsoft Certified: Azure Administrator Associate
Issued Mar 2023 · Expires Jan 2024
Credential ID I675-4243

Microsoft Certified: DevOps Engineer Expert
Issued Jun 2022 · Expires Jun 2023
Credential ID I316-7934
PL/SQL Developer & Oracle DBA
Financial Solution Center 
Nov 2013 - May 2015 
Ukraine
Main principles of the Oracle database. Installing and configuring the database Oracle 11g. Management instance of Oracle. Database management, and troubleshooting. Performing backup and restoring the database.
Writing and correcting procedures and functions using PL / SQL tools; creating the reports; user maintenance.

Back-end Developer
Vodafone
May 2015 - Oct 2016 
Ukraine
Automating workflows using PL / SQL tools, Java. Introduction and development of software tools for measuring the quality of networks and services. Project management for the implementation of network quality measurement systems. Provision of regular measurement, analysis, and reporting on the network quality.

Guidewire Developer
virtuace, inc
Oct 2016 - Present 
Ukraine
Software development; DevOps Engineer; configuring and extending product and data models, UI screens, custom Form Patterns, and business rules. Work with Policy/Claim Center

DevOps Engineer
ACTUM Digital
Apr 2022 - Present  
Prague, Czechia
"
